"Missing","MissingUrl","Count","Candidate","CandidatePath","Score","Common"
"annex-qms-024-semi-standards-and-csr-matrix.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-024-semi-standards-and-csr-matrix.html","4","ref-008-semi-and-csr-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\02-ANNEX-Standards\ref-008-semi-and-csr-matrix.html","0.75","semi csr matrix"
"proc-hse-001-incident-near-miss-management.html","../../05-Processes/05-PROC-HSE/proc-hse-001-incident-near-miss-management.html","4","sop-802-incident-near-miss-and-ehs.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-802-incident-near-miss-and-ehs.html","0.6","incident near miss"
"proc-qa-004-final-inspection-coc-release.html","../../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","4","frm-641-final-inspection-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-641-final-inspection-report.html","0.5","final inspection"
"proc-qa-004-final-inspection-coc-release.html","../../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","4","frm-305-inspection-program-release-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-305-inspection-program-release-checklist.html","0.5","inspection release"
"annex-qms-024-semi-standards-and-csr-matrix.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-024-semi-standards-and-csr-matrix.html","4","ref-003-as9100d-and-semi-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-003-as9100d-and-semi-matrix.html","0.5","semi matrix"
"proc-pur-002-purchasing-and-supplier-control.html","../../../05-Processes/10-PROC-PUR/proc-pur-002-purchasing-and-supplier-control.html","4","sop-401-supplier-control-and-special-process.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-401-supplier-control-and-special-process.html","0.5","supplier control"
"annex-qms-003-audit-evidence-pack-master.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-003-audit-evidence-pack-master.html","4","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\","0.5","evidence pack"
"proc-pur-002-purchasing-and-supplier-control.html","../../05-Processes/10-PROC-PUR/proc-pur-002-purchasing-and-supplier-control.html","4","sop-401-supplier-control-and-special-process.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-401-supplier-control-and-special-process.html","0.5","supplier control"
"frm-qa-007-fai-report.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","3","frm-311-fai-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-311-fai-report.html","1","fai report"
"annex-qms-005-m365-lists-and-field-mapping.html","../../../09-Annexes-References/01-ANNEX-QMS/annex-qms-005-m365-lists-and-field-mapping.html","3","ref-010-m365-lists-and-field-mapping.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-010-m365-lists-and-field-mapping.html","0.8","m365 lists field mapping"
